Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58612786,$100M Offers: How To Make Offers So Good People Feel Stupid Saying No (Acquisition.com $100M Series Book 1),Alex Hormozi,"Hormozi, Alex",,"=""1737475707""","=""9781737475705""",5,4.62,,Kindle Edition,210,2021,,,2023/07/12,,,read,,,,1,0
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,"=""""","=""""",5,4.35,Harriman House,Paperback,252,2020,2020,2023/12/05,2023/07/12,,,read,,,,1,0
26535513,Storytelling with Data: A Data Visualization Guide for Business Professionals,Cole Nussbaumer Knaflic,"Knaflic, Cole Nussbaumer",,"=""1119002257""","=""9781119002253""",0,4.40,Wiley,Paperback,288,2015,2015,,2023/12/05,currently-reading,currently-reading (#1),currently-reading,,,,1,0
578736,Zig Ziglar's Secrets of Closing the Sale: For Anyone Who Must Get Others to Say Yes!,Zig Ziglar,"Ziglar, Zig",,"=""0425081028""","=""9780425081020""",0,4.16,Berkley,Paperback,416,1985,1984,,2023/10/31,to-read,to-read (#118),to-read,,,,0,0
43306206,"The Courage to Be Disliked: How to Free Yourself, Change your Life and Achieve Real Happiness",Ichiro Kishimi,"Kishimi, Ichiro",Fumitake Koga,"=""""","=""""",0,4.03,Allen & Unwin,Paperback,288,2019,2013,,2023/09/24,to-read,to-read (#117),to-read,,,,0,0
3063393,Pragmatic Thinking and Learning: Refactor Your Wetware,Andy Hunt,"Hunt, Andy",,"=""1934356050""","=""9781934356050""",0,4.13,"Pragmatic Programmers, LLC, The",Paperback,251,2008,2008,,2023/09/20,to-read,to-read (#116),to-read,,,,0,0
123005124,The 32 Principles,Rener Gracie,"Gracie, Rener",Paul Volponi,"=""1637743661""","=""9781637743669""",0,3.82,BenBella Books ,Hardcover,240,2023,,,2023/09/17,to-read,to-read (#115),to-read,,,,0,0
8576838,The Win Without Pitching Manifesto,Blair Enns,"Enns, Blair",,"=""1605440043""","=""9781605440040""",0,4.46,RockBench Publishing Corp.,Hardcover,144,2010,2010,,2023/09/17,to-read,to-read (#114),to-read,,,,0,0
66693,"The Crystal Shard (Forgotten Realms: Icewind Dale, #1; Legend of Drizzt, #4)",R.A. Salvatore,"Salvatore, R.A.",,"=""0786942460""","=""9780786942466""",0,4.12,Wizards of the Coast,Mass Market Paperback,344,2007,1988,2023/09/11,2023/09/06,,,read,,,,1,0
33004,The Weekend Millionaire's Secrets to Investing in Real Estate: How to Become Wealthy in Your Spare Time,Mike Summey,"Summey, Mike",Roger Dawson,"=""0071412913""","=""9780071412919""",0,3.93,McGraw Hill,Paperback,288,2003,2003,,2023/09/03,to-read,to-read (#113),to-read,,,,0,0
25454056,"Sword of Destiny (The Witcher, #0.7)",Andrzej Sapkowski,"Sapkowski, Andrzej",David French,"=""""","=""""",0,4.27,Orbit,Kindle Edition,405,2015,1992,,2023/09/03,,,read,,,,1,0
18656031,"Baptism of Fire (The Witcher, #3)",Andrzej Sapkowski,"Sapkowski, Andrzej",David French,"=""0316219185""","=""9780316219181""",0,4.26,Orbit,Paperback,349,2014,1996,,2023/09/03,,,read,,,,1,0
14781491,"The Time of Contempt (The Witcher, #2)",Andrzej Sapkowski,"Sapkowski, Andrzej",David French,"=""0316219134""","=""9780316219136""",0,4.16,Orbit,Paperback,331,2013,1995,,2023/09/03,,,read,,,,1,0
6043781,"Blood of Elves (The Witcher, #1)",Andrzej Sapkowski,"Sapkowski, Andrzej",Danusia Stok,"=""031602919X""","=""9780316029193""",0,4.10,Hachette Book Group,Mass Market Paperback,398,2009,1994,,2023/09/03,,,read,,,,1,0
40603587,"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,"Sapkowski, Andrzej",Danusia Stok,"=""""","=""""",0,4.14,Orbit,Kindle Edition,400,2008,1993,,2023/09/03,,,read,,,,1,0
50310822,The Good Place and Philosophy: Everything is Forking Fine! (The Blackwell Philosophy and Pop Culture Series),William Irwin,"Irwin, William",Kimberly S. Engels,"=""1119633281""","=""9781119633280""",0,4.00,Wiley-Blackwell,Paperback,320,2020,2020,,2023/08/29,to-read,to-read (#112),to-read,,,,0,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,2023/08/28,2023/08/26,,,read,,,,1,0
1,Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.58,Scholastic Inc,Paperback,652,2006,2005,2023/08/26,2023/08/24,,,read,,,,1,0
40603783,The Defining Decade: Why Your Twenties Matter—And How to Make the Most of Them Now,Meg Jay,"Jay, Meg",,"=""""","=""""",0,4.11,Twelve,Kindle Edition,273,2012,2012,,2023/08/25,to-read,to-read (#111),to-read,,,,0,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",0,4.50,Scholastic Inc.,Paperback,912,2004,2003,2023/08/24,2023/07/12,,,read,,,,1,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.","Mary GrandPré, Jim Kay","=""""","=""""",0,4.56,Scholastic,Paperback,734,2002,2000,2023/08/16,2023/08/09,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",0,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,2023/08/09,2023/08/05,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",0,4.43,Arthur A. Levine Books,Hardcover,341,1999,1998,2023/08/05,2023/07/28,,,read,,,,1,0
156940126,$100M Leads: How to Get Strangers To Want To Buy Your Stuff,Alex Hormozi,"Hormozi, Alex",,"=""""","=""""",0,4.72,,Kindle Edition,369,2023,,,2023/07/30,to-read,to-read (#110),to-read,,,,0,0
20786258,Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,"Kleon, Austin",,"=""0761181369""","=""9780761181361""",0,4.12,Workman Publishing,ebook,250,2014,2014,,2023/07/30,,,read,,,,1,0
10127019,The Lean Startup,Eric Ries,"Ries, Eric",,"=""0307887898""","=""9780307887894""",0,4.11,Best Business,Board Book,299,2011,2011,2023/07/30,2023/07/12,,,read,,,,1,0
20582286,"Homeland (Forgotten Realms: The Dark Elf Trilogy, #1; Legend of Drizzt, #1)",R.A. Salvatore,"Salvatore, R.A.",Victor Bevine,"=""""","=""""",0,4.26,Audible Studios,Audible Audio,,2013,1990,,2023/07/30,to-read,to-read (#109),to-read,,,,0,0
39330937,The Laws of Human Nature,Robert Greene,"Greene, Robert",,"=""0698184548""","=""9780698184541""",0,4.37,Penguin Books,Kindle Edition,624,2018,2018,,2023/07/24,to-read,to-read (#108),to-read,,,,0,0
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus",Martin Hammond,"=""0140449337""","=""9780140449334""",0,4.27,Penguin Books,Paperback,254,2006,180,,2023/07/24,to-read,to-read (#107),to-read,,,,0,0
23130805,The Slight Edge: Turning Simple Disciplines into Massive Success and Happiness,Jeff Olson,"Olson, Jeff",,"=""1935944312""","=""9781935944317""",0,4.29,Success Books,Paperback,280,2013,2005,,2023/07/24,to-read,to-read (#106),to-read,,,,0,0
20995,The Art of Seduction,Robert Greene,"Greene, Robert","Мариана Мелнишка, Робърт Грийн","=""1861977697""","=""9781861977694""",0,3.98,Penguin,Paperback,466,2001,2001,,2023/07/24,to-read,to-read (#105),to-read,,,,0,0
6708,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,"Tolle, Eckhart",,"=""""","=""""",0,4.15,New World Library,Paperback,229,2004,1997,,2023/07/24,to-read,to-read (#104),to-read,,,,0,0
12633800,Models: Attract Women Through Honesty,Mark Manson,"Manson, Mark",,"=""1463750358""","=""9781463750350""",0,4.30,CreateSpace Independent Publishing Platform,Paperback,246,2011,2011,,2023/07/24,to-read,to-read (#103),to-read,,,,0,0
29502358,"Wisdom from Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and the Middle Class Do Not!",Robert T. Kiyosaki,"Kiyosaki, Robert T.",,"=""0762460997""","=""9780762460991""",0,4.27,RP Minis,Hardcover,128,2016,,,2023/07/24,to-read,to-read (#102),to-read,,,,0,0
50209348,The Art of Impossible: A Peak Performance Primer,Steven Kotler,"Kotler, Steven",,"=""0062977520""","=""9780062977526""",0,4.23,Harper Wave,ebook,336,2021,2021,,2023/07/24,to-read,to-read (#101),to-read,,,,0,0
56961581,Decoding Greatness: How the Best in the World Reverse Engineer Success,Ron      Friedman,"Friedman, Ron",,"=""""","=""""",0,4.23,Simon & Schuster,Kindle Edition,283,2021,,,2023/07/24,to-read,to-read (#100),to-read,,,,0,0
54571523,Hook Point: How to Stand Out in a 3-Second World,Brendan Kane,"Kane, Brendan",,"=""1949001016""","=""9781949001013""",0,3.47,Waterside Productions,Kindle Edition,304,2020,,,2023/07/24,to-read,to-read (#99),to-read,,,,0,0
644198,"Primal Branding: Create Zealots for Your Brand, Your Company, and Your Future",Patrick Hanlon,"Hanlon, Patrick",Alan Sklar,"=""1400102197""","=""9781400102198""",0,3.75,Tantor Audio,Audio CD,0,2006,2006,,2023/07/24,to-read,to-read (#98),to-read,,,,0,0
40591670,I Will Teach You to Be Rich: No Guilt. No Excuses. No BS. Just a 6-Week Program That Works,Ramit Sethi,"Sethi, Ramit",,"=""1523505745""","=""9781523505746""",0,4.17,Workman Publishing Company,Paperback,352,2019,2009,,2023/07/24,to-read,to-read (#97),to-read,,,,0,0
180116,"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!",Tony Robbins,"Robbins, Tony","Anthony Robbins, Frederick L. Covan","=""0671791540""","=""9780671791544""",0,4.15,Simon  Schuster,Paperback,544,1992,1992,,2023/07/24,to-read,to-read (#96),to-read,,,,0,0
194383,Hope and Help for Your Nerves,Claire Weekes,"Weekes, Claire",,"=""0451167228""","=""9780451167224""",0,4.26,Berkley,Mass Market Paperback,208,1990,1969,,2023/07/24,to-read,to-read (#95),to-read,,,,0,0
63260686,She comes first: Thinking man's guide to meeting a woman's need,Joana Kerner,"Kerner, Joana",,"=""""","=""""",0,4.40,,Kindle Edition,62,2022,,,2023/07/24,to-read,to-read (#94),to-read,,,,0,0
262731,The Definitive Book of Body Language,Allan Pease,"Pease, Allan",Barbara Pease,"=""""","=""9780553804720""",0,3.96,Bantam,Hardcover,400,2006,1994,,2023/07/24,to-read,to-read (#93),to-read,,,,0,0
187636,"No Death, No Fear: Comforting Wisdom for Life",Thich Nhat Hanh,"Hanh, Thich Nhat",,"=""1573223336""","=""9781573223331""",0,4.20,Riverhead,Paperback,208,2003,2002,,2023/07/24,to-read,to-read (#92),to-read,,,,0,0
16256798,The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller,"Keller, Gary",Jay Papasan,"=""1885167776""","=""9781885167774""",0,4.13,Bard Press,Hardcover,240,2013,2012,,2023/07/24,to-read,to-read (#91),to-read,,,,0,0
58188929,The 4 Disciplines of Execution: Revised and Updated: Achieving Your Wildly Important Goals,Sean Covey,"Covey, Sean",Chris McChesney,"=""1398506664""","=""9781398506664""",0,3.95,Simon & Schuster UK,Paperback,336,2021,,,2023/07/24,to-read,to-read (#90),to-read,,,,0,0
15014,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,"Patterson, Kerry","Stephen R. Covey, Joseph Grenny, Ron McMillan, Al Switzler","=""0071401946""","=""9780071401944""",0,4.06,McGraw-Hill,Paperback,240,2002,2002,,2023/07/24,to-read,to-read (#89),to-read,,,,0,0
13525945,So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,Cal Newport,"Newport, Cal",,"=""1455509108""","=""9781455509102""",0,4.08,Business Plus,Kindle Edition,288,2012,2012,,2023/07/24,to-read,to-read (#88),to-read,,,,0,0
49172,The Four Obsessions of an Extraordinary Executive: A Leadership Fable,Patrick Lencioni,"Lencioni, Patrick",,"=""0787954039""","=""9780787954031""",0,4.10,Jossey-Bass,Hardcover,184,2000,2000,,2023/07/24,to-read,to-read (#87),to-read,,,,0,0
22103881,The New One Minute Manager,Kenneth H. Blanchard,"Blanchard, Kenneth H.",Spencer Johnson,"=""0062367544""","=""9780062367549""",0,3.87,William Morrow,Hardcover,112,2015,2015,,2023/07/24,to-read,to-read (#86),to-read,,,,0,0
48691943,The Great CEO Within: The Tactical Guide to Company Building,Matt Mochary,"Mochary, Matt","Alex MacCaw, Misha Talavera","=""0578599295""","=""9780578599298""",0,4.35,Mochary Films,ebook,200,2019,,,2023/07/24,to-read,to-read (#85),to-read,,,,0,0
38900866,It Doesn't Have to Be Crazy at Work,Jason Fried,"Fried, Jason",David Heinemeier Hansson,"=""0062874780""","=""9780062874788""",0,4.01,Harper Business,Hardcover,240,2018,2018,,2023/07/24,to-read,to-read (#84),to-read,,,,0,0
18886376,Traction: Get a Grip on Your Business,Gino Wickman,"Wickman, Gino",,"=""""","=""""",0,4.13,BenBella Books,Kindle Edition,274,2012,2007,,2023/07/24,to-read,to-read (#83),to-read,,,,0,0
52255414,"Happy Sexy Millionaire: Unexpected Truths about Fulfillment, Love, and Success",Steven Bartlett,"Bartlett, Steven",,"=""1529301491""","=""9781529301496""",0,4.17,Quercus,Hardcover,224,2021,,,2023/07/24,to-read,to-read (#82),to-read,,,,0,0
52950915,Die with Zero: Getting All You Can from Your Money and Your Life,Bill Perkins,"Perkins, Bill",,"=""0358099765""","=""9780358099765""",0,3.93,Houghton Mifflin Harcourt,Hardcover,240,2020,2020,,2023/07/24,to-read,to-read (#81),to-read,,,,0,0
111209,Unconditional Parenting: Moving from Rewards and Punishments to Love and Reason,Alfie Kohn,"Kohn, Alfie",,"=""0743487486""","=""9780743487481""",0,4.16,Atria Books,Paperback,272,2006,2005,,2023/07/24,to-read,to-read (#80),to-read,,,,0,0
54785515,Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,"Burkeman, Oliver",,"=""0374159122""","=""9780374159122""",0,4.23,"Farrar, Straus and Giroux",Hardcover,273,2021,2021,,2023/07/24,to-read,to-read (#79),to-read,,,,0,0
68428,"The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""9780765311788""",0,4.48,Tor Books,Hardcover,537,2006,2006,,2023/07/24,to-read,to-read (#78),to-read,,,,0,0
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",0,4.43,Atria Books,Hardcover,389,2017,2017,,2023/07/24,to-read,to-read (#77),to-read,,,,0,0
23164946,The Surrender Experiment: My Journey into Life's Perfection,Michael A. Singer,"Singer, Michael A.",,"=""080414110X""","=""9780804141109""",0,4.07,Harmony/Rodale,Paperback,252,2015,2015,,2023/07/24,to-read,to-read (#76),to-read,,,,0,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.37,Vintage,Paperback,512,2015,2011,,2023/07/24,to-read,to-read (#75),to-read,,,,0,0
79424,"The Way of the Superior Man: A Spiritual Guide to Mastering the Challenges of Women, Work, and Sexual Desire",David Deida,"Deida, David",,"=""1591792576""","=""9781591792574""",0,4.06,Sounds True,Paperback,207,2004,1997,,2023/07/24,to-read,to-read (#74),to-read,,,,0,0
100158,"The Luck Factor: Changing Your Luck, Changing Your Life - The Four  Essential Principles",Richard Wiseman,"Wiseman, Richard",,"=""0786869143""","=""9780786869145""",0,3.84,Miramax,Hardcover,240,2003,2003,,2023/07/24,to-read,to-read (#73),to-read,,,,0,0
1873060,The Go-Giver: A Little Story About a Powerful Business Idea,Bob Burg,"Burg, Bob",John David Mann,"=""159184200X""","=""9781591842002""",0,4.33,Portfolio,Hardcover,133,2007,2007,,2023/07/24,to-read,to-read (#72),to-read,,,,0,0
62613326,Scorecard Marketing: The four-step playbook for getting better leads and bigger profits,Daniel Priestley,"Priestley, Daniel",Glen Carlson,"=""""","=""""",0,3.80,,Kindle Edition,137,2022,,,2023/07/24,to-read,to-read (#71),to-read,,,,0,0
10541897,Beyond Wealth: The Road Map to a Rich Life,Alexander Green,"Green, Alexander",,"=""1118027612""","=""9781118027615""",0,3.79,Wiley,Hardcover,320,2011,2011,,2023/07/24,to-read,to-read (#70),to-read,,,,0,0
55189231,The Art and Business of Online Writing: How to Beat the Game of Capturing and Keeping Attention,Nicolas Cole,"Cole, Nicolas",,"=""0998203483""","=""9780998203485""",0,4.47,Nicolas Cole,Kindle Edition,342,2020,,,2023/07/24,to-read,to-read (#69),to-read,,,,0,0
60965575,"Someday Is Today: 22 Simple, Actionable Ways to Propel Your Creative Life",Matthew Dicks,"Dicks, Matthew","Matthew Shepard, Elysha Dicks","=""1608687503""","=""9781608687503""",0,3.94,New World Library,Paperback,344,2022,,,2023/07/24,to-read,to-read (#68),to-read,,,,0,0
60151185,The Pathless Path: Imagining a New Story For Work and Life,Paul  Millerd,"Millerd, Paul",,"=""""","=""9798985515343""",0,4.03,Paul Millerd,Kindle Edition,222,2022,2022,,2023/07/24,to-read,to-read (#67),to-read,,,,0,0
662,Atlas Shrugged,Ayn Rand,"Rand, Ayn",Leonard Peikoff,"=""0452011876""","=""9780452011878""",0,3.69,Plume,Paperback,1168,1999,1957,,2023/07/24,to-read,to-read (#66),to-read,,,,0,0
60209479,How to Invest: Masters on the Craft,David M. Rubenstein,"Rubenstein, David M.",,"=""1982190302""","=""9781982190309""",0,3.97,Simon & Schuster,Hardcover,416,2022,,,2023/07/24,to-read,to-read (#65),to-read,,,,0,0
58733657,After Steve: How Apple Became a Trillion-Dollar Company and Lost Its Soul,Tripp Mickle,"Mickle, Tripp",,"=""0063009811""","=""9780063009813""",0,4.11,William Morrow,Hardcover,512,2022,2022,,2023/07/24,to-read,to-read (#64),to-read,,,,0,0
6431063,"How The Mighty Fall: And Why Some Companies Never Give In (Good to Great, 4)",James C. Collins,"Collins, James C.",Jim Collins,"=""0977326411""","=""9780977326419""",0,3.96,JimCollins,Hardcover,240,2009,2009,,2023/07/24,to-read,to-read (#63),to-read,,,,0,0
72193,"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.47,Bloomsbury Publishing,Paperback,223,1997,1997,2023/07/24,2023/07/12,,,read,,,,1,0
65215684,Feel-Good Productivity: How to Do More of What Matters to You,Ali  Abdaal,"Abdaal, Ali",,"=""""","=""""",0,3.93,Celadon Books,Kindle Edition,292,2023,,,2023/07/20,to-read,to-read (#62),to-read,,,,0,0
368593,The 4-Hour Workweek,Timothy Ferriss,"Ferriss, Timothy",,"=""0307353133""","=""9780307353139""",0,3.92,Harmony,ebook,308,2007,2007,,2023/07/12,,,read,,,,1,0
15824358,The First 90 Days: Critical Success Strategies for New Leaders at All Levels,Michael D. Watkins,"Watkins, Michael D.",,"=""1422188612""","=""9781422188613""",0,3.86,Harvard Business Review Press,Hardcover,304,2013,2003,,2023/07/18,to-read,to-read (#61),to-read,,,,0,0
27213329,Grit: The Power of Passion and Perseverance,Angela Duckworth,"Duckworth, Angela",,"=""1443442313""","=""9781443442312""",0,4.08,Collins,Hardcover,277,2016,2016,,2023/07/16,to-read,to-read (#60),to-read,,,,0,0
54898389,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,"Jorgenson, Eric",,"=""""","=""9781544514208""",0,4.46,Magrathea Publishing,ebook,244,2020,2020,,2023/07/14,to-read,to-read (#59),to-read,,,,0,0
1380642,Starting A Business for Dummies,Colin Barrow,"Barrow, Colin",,"=""0764570188""","=""9780764570186""",0,3.52,For Dummies,Paperback,,2004,2000,,2023/07/14,to-read,to-read (#58),to-read,,,,0,0
63079845,Never Finished: Unshackle Your Mind and Win the War Within,David Goggins,"Goggins, David",,"=""154453406X""","=""""",0,4.46,Lioncrest Publishing,Kindle Edition,312,2022,2022,,2023/07/13,to-read,to-read (#57),to-read,,,,0,0
38714388,The Dichotomy of Leadership: Balancing the Challenges of Extreme Ownership to Lead and Win,Jocko Willink,"Willink, Jocko",Leif Babin,"=""1250195780""","=""9781250195784""",0,4.38,St. Martin's Press,ebook,320,2018,2018,,2023/07/13,to-read,to-read (#56),to-read,,,,0,0
23848190,Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,"Willink, Jocko",Leif Babin,"=""1250067057""","=""9781250067050""",0,4.25,St. Martin's Press,Hardcover,320,2015,2015,,2023/07/13,to-read,to-read (#55),to-read,,,,0,0
13589182,Mastery,Robert Greene,"Greene, Robert",,"=""0670024961""","=""9780670024964""",0,4.26,Viking,Hardcover,318,2012,2012,,2023/07/13,to-read,to-read (#54),to-read,,,,0,0
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",0,4.19,"Little, Brown and Company",Hardcover,309,2008,2008,,2023/07/13,to-read,to-read (#53),to-read,,,,0,0
40173654,Living The 80/20 Way: Prinsip Pareto Untuk Mendapatkan Hasil Luar Biasa,Richard Koch,"Koch, Richard",Ahmad Sabri,"=""6020380408""","=""9786020380407""",0,3.73,Gramedia Pustaka Utama,Paperback,268,2018,2004,,2023/07/13,to-read,to-read (#52),to-read,,,,0,0
51811688,The Bezos Letters: 14 Principles to Grow Your Business Like Amazon,Steve       Anderson,"Anderson, Steve",Karen Anderson,"=""""","=""""",0,3.95,Morgan James Publishing,Kindle Edition,263,2019,,,2023/07/13,to-read,to-read (#51),to-read,,,,0,0
40405984,One to Many: The Secret to Webinar Success,Jason Fladlien,"Fladlien, Jason",,"=""1544500637""","=""9781544500638""",0,4.59,Rapid Crush Publishing,Kindle Edition,348,2018,,,2023/07/13,to-read,to-read (#50),to-read,,,,0,0
35254158,"Expert Secrets: The Underground Playbook for Finding Your Message, Building a Tribe, and Changing the World",Russell Brunson,"Brunson, Russell",,"=""1683504593""","=""9781683504597""",0,4.22,Morgan James Publishing,ebook,,2017,,,2023/07/13,to-read,to-read (#49),to-read,,,,0,0
24953002,"The Sales Acceleration Formula: Using Data, Technology, and Inbound Selling to go from $0 to $100 Million",Mark Roberge,"Roberge, Mark",,"=""""","=""""",0,4.27,Wiley,Kindle Edition,217,2015,2015,,2023/07/13,to-read,to-read (#48),to-read,,,,0,0
43535,Wooden on Leadership: How to Create a Winning Organization,John Wooden,"Wooden, John",Steve Jamison,"=""0071453393""","=""9780071453394""",0,4.40,McGraw Hill,Hardcover,302,2005,2005,,2023/07/13,to-read,to-read (#47),to-read,,,,0,0
152221974,"Ready, Fire, Aim: Zero to $100 Million in No Time Flat (Agora Series)",Michael  Masterson,"Masterson, Michael",,"=""""","=""""",0,4.33,,Kindle Edition,435,2023,,,2023/07/13,to-read,to-read (#46),to-read,,,,0,0
2208661,Yes!: 50 Scientifically Proven Ways to Be Persuasive,Noah J. Goldstein,"Goldstein, Noah J.","Robert B. Cialdini, Steve J. Martin","=""1416570969""","=""9781416570967""",0,3.97,Free Press,Hardcover,258,2008,2008,,2023/07/13,to-read,to-read (#45),to-read,,,,0,0
29238799,Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,"Cialdini, Robert B.",,"=""1501109790""","=""9781501109799""",0,4.01,Simon & Schuster,Hardcover,432,2016,2016,,2023/07/13,to-read,to-read (#44),to-read,,,,0,0
60018575,Discipline Is Destiny: The Power of Self-Control,Ryan Holiday,"Holiday, Ryan",,"=""0593191692""","=""9780593191699""",0,4.30,Portfolio,Hardcover,312,2022,,,2023/07/12,to-read,to-read (#43),to-read,,,,0,0
