Main Title,Secondary Title,Author,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Exclusive Shelf
Harry Potter and the Chamber of Secrets,,J.K. Rowling,4.43,Arthur A. Levine Books,341,1999,1998,read
$100M Leads, How to Get Strangers To Want To Buy Your Stuff,Alex Hormozi,4.72,,369,2023,0,to-read
Show Your Work!, 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,4.12,Workman Publishing,250,2014,2014,read
The Lean Startup,,Eric Ries,4.11,Best Business,299,2011,2011,read
Homeland,,R.A. Salvatore,4.26,Audible Studios,0,2013,1990,to-read
The Laws of Human Nature,,Robert Greene,4.37,Penguin Books,624,2018,2018,to-read
Meditations,,Marcus Aurelius,4.27,Penguin Books,254,2006,180,to-read
The Slight Edge, Turning Simple Disciplines into Massive Success and Happiness,Jeff Olson,4.29,Success Books,280,2013,2005,to-read
The Art of Seduction,,Robert Greene,3.98,Penguin,466,2001,2001,to-read
The Power of Now, A Guide to Spiritual Enlightenment,Eckhart Tolle,4.15,New World Library,229,2004,1997,to-read
Models, Attract Women Through Honesty,Mark Manson,4.3,CreateSpace Independent Publishing Platform,246,2011,2011,to-read
"Wisdom from Rich Dad, Poor Dad", What the Rich Teach Their Kids About Money--That the Poor and the Middle Class Do Not!,Robert T. Kiyosaki,4.27,RP Minis,128,2016,0,to-read
The Art of Impossible, A Peak Performance Primer,Steven Kotler,4.23,Harper Wave,336,2021,2021,to-read
Decoding Greatness, How the Best in the World Reverse Engineer Success,Ron      Friedman,4.23,Simon & Schuster,283,2021,0,to-read
Hook Point, How to Stand Out in a 3-Second World,Brendan Kane,3.47,Waterside Productions,304,2020,0,to-read
Primal Branding," Create Zealots for Your Brand, Your Company, and Your Future",Patrick Hanlon,3.75,Tantor Audio,0,2006,2006,to-read
I Will Teach You to Be Rich, No Guilt. No Excuses. No BS. Just a 6-Week Program That Works,Ramit Sethi,4.17,Workman Publishing Company,352,2019,2009,to-read
Awaken the Giant Within," How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!",Tony Robbins,4.15,Simon  Schuster,544,1992,1992,to-read
Hope and Help for Your Nerves,,Claire Weekes,4.26,Berkley,208,1990,1969,to-read
She comes first, Thinking man's guide to meeting a woman's need,Joana Kerner,4.4,,62,2022,0,to-read
The Definitive Book of Body Language,,Allan Pease,3.96,Bantam,400,2006,1994,to-read
"No Death, No Fear", Comforting Wisdom for Life,Thich Nhat Hanh,4.2,Riverhead,208,2003,2002,to-read
The One Thing, The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller,4.13,Bard Press,240,2013,2012,to-read
The 4 Disciplines of Execution, Revised and Updated: Achieving Your Wildly Important Goals,Sean Covey,3.95,Simon & Schuster UK,336,2021,0,to-read
Crucial Conversations, Tools for Talking When Stakes are High,Kerry Patterson,4.06,McGraw-Hill,240,2002,2002,to-read
So Good They Can't Ignore You, Why Skills Trump Passion in the Quest for Work You Love,Cal Newport,4.08,Business Plus,288,2012,2012,to-read
The Four Obsessions of an Extraordinary Executive, A Leadership Fable,Patrick Lencioni,4.1,Jossey-Bass,184,2000,2000,to-read
The New One Minute Manager,,Kenneth H. Blanchard,3.87,William Morrow,112,2015,2015,to-read
The Great CEO Within, The Tactical Guide to Company Building,Matt Mochary,4.35,Mochary Films,200,2019,0,to-read
It Doesn't Have to Be Crazy at Work,,Jason Fried,4.01,Harper Business,240,2018,2018,to-read
Traction, Get a Grip on Your Business,Gino Wickman,4.13,BenBella Books,274,2012,2007,to-read
Happy Sexy Millionaire," Unexpected Truths about Fulfillment, Love, and Success",Steven Bartlett,4.17,Quercus,224,2021,0,to-read
Die with Zero, Getting All You Can from Your Money and Your Life,Bill Perkins,3.93,Houghton Mifflin Harcourt,240,2020,2020,to-read
Unconditional Parenting, Moving from Rewards and Punishments to Love and Reason,Alfie Kohn,4.16,Atria Books,272,2006,2005,to-read
Four Thousand Weeks, Time Management for Mortals,Oliver Burkeman,4.23,"Farrar, Straus and Giroux",273,2021,2021,to-read
The Final Empire,,Brandon Sanderson,4.48,Tor Books,537,2006,2006,to-read
The Seven Husbands of Evelyn Hugo,,Taylor Jenkins Reid,4.43,Atria Books,389,2017,2017,to-read
The Surrender Experiment, My Journey into Life's Perfection,Michael A. Singer,4.07,Harmony/Rodale,252,2015,2015,to-read
Sapiens, A Brief History of Humankind,Yuval Noah Harari,4.37,Vintage,512,2015,2011,to-read
The Way of the Superior Man," A Spiritual Guide to Mastering the Challenges of Women, Work, and Sexual Desire",David Deida,4.06,Sounds True,207,2004,1997,to-read
The Luck Factor," Changing Your Luck, Changing Your Life - The Four  Essential Principles",Richard Wiseman,3.84,Miramax,240,2003,2003,to-read
The Go-Giver, A Little Story About a Powerful Business Idea,Bob Burg,4.33,Portfolio,133,2007,2007,to-read
Scorecard Marketing, The four-step playbook for getting better leads and bigger profits,Daniel Priestley,3.8,,137,2022,0,to-read
Beyond Wealth, The Road Map to a Rich Life,Alexander Green,3.79,Wiley,320,2011,2011,to-read
The Art and Business of Online Writing, How to Beat the Game of Capturing and Keeping Attention,Nicolas Cole,4.47,Nicolas Cole,342,2020,0,to-read
Someday Is Today," 22 Simple, Actionable Ways to Propel Your Creative Life",Matthew Dicks,3.94,New World Library,344,2022,0,to-read
The Pathless Path, Imagining a New Story For Work and Life,Paul  Millerd,4.03,Paul Millerd,222,2022,2022,to-read
Atlas Shrugged,,Ayn Rand,3.69,Plume,1168,1999,1957,to-read
How to Invest, Masters on the Craft,David M. Rubenstein,3.97,Simon & Schuster,416,2022,0,to-read
After Steve, How Apple Became a Trillion-Dollar Company and Lost Its Soul,Tripp Mickle,4.11,William Morrow,512,2022,2022,to-read
How The Mighty Fall, And Why Some Companies Never Give In ,James C. Collins,3.96,JimCollins,240,2009,2009,to-read
Harry Potter and the Philosopher’s Stone,,J.K. Rowling,4.47,Bloomsbury Publishing,223,1997,1997,read
Feel-Good Productivity, How to Do More of What Matters to You,Ali  Abdaal,3.93,Celadon Books,292,2023,0,to-read
The 4-Hour Workweek,,Timothy Ferriss,3.92,Harmony,308,2007,2007,read
The First 90 Days, Critical Success Strategies for New Leaders at All Levels,Michael D. Watkins,3.86,Harvard Business Review Press,304,2013,2003,to-read
Grit, The Power of Passion and Perseverance,Angela Duckworth,4.08,Collins,277,2016,2016,to-read
The Almanack of Naval Ravikant, A Guide to Wealth and Happiness,Eric Jorgenson,4.46,Magrathea Publishing,244,2020,2020,to-read
Starting A Business for Dummies,,Colin Barrow,3.52,For Dummies,0,2004,2000,to-read
Never Finished, Unshackle Your Mind and Win the War Within,David Goggins,4.46,Lioncrest Publishing,312,2022,2022,to-read
The Dichotomy of Leadership, Balancing the Challenges of Extreme Ownership to Lead and Win,Jocko Willink,4.38,St. Martin's Press,320,2018,2018,to-read
Extreme Ownership, How U.S. Navy SEALs Lead and Win,Jocko Willink,4.25,St. Martin's Press,320,2015,2015,to-read
Mastery,,Robert Greene,4.26,Viking,318,2012,2012,to-read
Outliers, The Story of Success,Malcolm Gladwell,4.19,"Little, Brown and Company",309,2008,2008,to-read
Living The 80/20 Way, Prinsip Pareto Untuk Mendapatkan Hasil Luar Biasa,Richard Koch,3.73,Gramedia Pustaka Utama,268,2018,2004,to-read
The Bezos Letters, 14 Principles to Grow Your Business Like Amazon,Steve       Anderson,3.95,Morgan James Publishing,263,2019,0,to-read
One to Many, The Secret to Webinar Success,Jason Fladlien,4.59,Rapid Crush Publishing,348,2018,0,to-read
Expert Secrets," The Underground Playbook for Finding Your Message, Building a Tribe, and Changing the World",Russell Brunson,4.22,Morgan James Publishing,0,2017,0,to-read
The Sales Acceleration Formula," Using Data, Technology, and Inbound Selling to go from $0 to $100 Million",Mark Roberge,4.27,Wiley,217,2015,2015,to-read
Wooden on Leadership, How to Create a Winning Organization,John Wooden,4.4,McGraw Hill,302,2005,2005,to-read
"Ready, Fire, Aim", Zero to $100 Million in No Time Flat ,Michael  Masterson,4.33,,435,2023,0,to-read
Yes!, 50 Scientifically Proven Ways to Be Persuasive,Noah J. Goldstein,3.97,Free Press,258,2008,2008,to-read
Pre-Suasion, A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,4.01,Simon & Schuster,432,2016,2016,to-read
Discipline Is Destiny, The Power of Self-Control,Ryan Holiday,4.3,Portfolio,312,2022,0,to-read
Courage Is Calling, Fortune Favors the Brave ,Ryan Holiday,4.05,Portfolio,278,2021,2021,to-read
Stillness Is the Key,,Ryan Holiday,4.22,Portfolio,288,2019,2019,to-read
Ego Is the Enemy,,Ryan Holiday,4.14,Portfolio,226,2016,2016,to-read
Steal Like an Artist, 10 Things Nobody Told You About Being Creative,Austin Kleon,3.96,Workman Publishing Company,160,2012,2012,read
Across the Nightingale Floor,,Lian Hearn,4.06,Riverhead Books,305,2002,2002,to-read
A Book of Five Rings, The Classic Guide to Strategy,Miyamoto Musashi,3.98,Gramercy,192,1988,1645,to-read
Blue Ocean Strategy, How to Create Uncontested Market Space and Make the Competition Irrelevant,W. Chan Kim,4.01,Harvard Business Review Press,240,2005,2004,to-read
Musashi,,Eiji Yoshikawa,4.47,Kodansha International,970,1995,1935,to-read
The Millionaire Fastlane, Crack the Code to Wealth and Live Rich for a Lifetime!,M.J. DeMarco,4.32,Viperion Publishing Corp,322,2011,2010,to-read
Can't Hurt Me, Master Your Mind and Defy the Odds,David Goggins,4.36,Lioncrest Publishing,366,2018,2018,to-read
Relentless, From Good to Great to Unstoppable ,Tim S. Grover,3.96,Scribner,233,2014,2013,to-read
The Obstacle Is the Way, The Timeless Art of Turning Trials into Triumph,Ryan Holiday,4.15,Portfolio,201,2014,2014,to-read
The Hunger Games,,Suzanne Collins,4.33,Scholastic Press,374,2008,2008,to-read
The Art of War,,Sun Tzu,3.96,Harper Press,273,2005,-400,to-read
The Black Swan, The Impact of the Highly Improbable,Nassim Nicholas Taleb,3.96,Random House ,366,2007,2007,to-read
Leaders Eat Last, Why Some Teams Pull Together and Others Don't,Simon Sinek,4.11,Portfolio,350,2014,2014,to-read
Deep Work, Rules for Focused Success in a Distracted World,Cal Newport,4.18,Grand Central Publishing,296,2016,2016,to-read
Getting to Yes, Negotiating Agreement Without Giving In,Roger Fisher,3.95,Penguin Group,200,1992,1981,to-read
"Rich Dad, Poor Dad",,Robert T. Kiyosaki,4.12,Time Warner Books UK,195,2001,1997,to-read
Never Split the Difference, Negotiating as if Your Life Depended on It,Chris Voss,4.36,Random House Business,288,2023,2016,to-read
Hell Yeah or No, What's Worth Doing,Derek Sivers,4.27,Hit Media,122,2020,2020,to-read
Make Time, How to Focus on What Matters Every Day,Jake Knapp,4.09,Crown Currency,287,2018,2018,to-read
Think and Grow Rich,,Napoleon Hill,4.18,,233,2016,1937,to-read
The Productivity Project," Accomplishing More by Managing Your Time, Attention, and Energy",Chris   Bailey,3.95,Crown Business,304,2016,2016,to-read
The Power of Habit, Why We Do What We Do in Life and Business,Charles Duhigg,4.13,Random House,375,2012,2012,to-read
"Thinking, Fast and Slow",,Daniel Kahneman,4.18,"Farrar, Straus and Giroux",499,2011,2011,to-read
Start with Why, How Great Leaders Inspire Everyone to Take Action,Simon Sinek,4.1,Portfolio,256,2009,2009,to-read
The Intelligent Investor,,Benjamin Graham,4.25,Harper Business,623,2006,1949,to-read
The E-myth Revisited,,Michael E. Gerber,4.06,Harper Collins,269,1995,1985,to-read
Influence, The Psychology of Persuasion,Robert B. Cialdini,4.21,Harper Business,320,2006,1984,to-read
Getting Things Done, The Art of Stress-Free Productivity,David    Allen,4.01,Penguin Books,267,2002,2001,to-read
The Richest Man in Babylon,,George S. Clason,4.25,Berkley Books,194,2002,1926,to-read
The Millionaire Next Door, The Surprising Secrets of America's Wealthy,Thomas J. Stanley,4.07,Gallery Books,258,1998,1995,to-read
Dune,,Frank Herbert,4.26,Ace,658,2019,1965,to-read
Ready Player One,,Ernest Cline,4.23,Crown Publishers,374,2011,2011,to-read
The Tipping Point, How Little Things Can Make a Big Difference,Malcolm Gladwell,4.0,Time Warner Book Group,301,2002,2000,to-read
Man's Search for Meaning,,Viktor E. Frankl,4.37,Beacon Press,165,2006,1959,to-read
Atomic Habits, An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.36,Avery,319,2018,2018,to-read
The Subtle Art of Not Giving a F*ck, A Counterintuitive Approach to Living a Good Life,Mark Manson,3.9,Harper,212,2016,2016,to-read
Good to Great, Why Some Companies Make the Leap... and Others Don't,James C. Collins,4.14,HarperBusiness,300,2001,2001,to-read
Zero to One," Notes on Startups, or How to Build the Future",Peter Thiel,4.17,Crown Currency,195,2014,2014,to-read
The Happiness Equation, Want Nothing + Do Anything = Have Everything,Neil Pasricha,3.87,G.P. Putnam's Sons,304,2016,2015,to-read
Keep Going, 10 Ways to Stay Creative in Good Times and Bad ,Austin Kleon,4.28,Workman Publishing Company,224,2019,2019,to-read
